,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],2212.0
f_tdf.shape[0],2170.0
fc_tdf.shape[0],593.0
fcu_tdf.shape[0],593.0
curr_ocp,0.2457627118644068
target_ocp,0.1
new_ocp,0.1
n_train,140.0
n_test,391.0
n_dims,13.0
mean_lat,47.6372425735212
mean_long,-122.35022446752232
std_lat,0.015384241673356698
std_long,0.014365388767738267
init_lengthscale,142.1474820143885
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-60.94882302539082
m,43.0
bic,334.3882702229817
gp_runtime,3.6813251972198486
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
