,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],13492.0
f_tdf.shape[0],12829.0
fc_tdf.shape[0],4713.0
fcu_tdf.shape[0],4649.0
curr_ocp,0.6470588235294118
target_ocp,0.1
new_ocp,0.1
n_train,351.0
n_test,3539.0
n_dims,13.0
mean_lat,47.55954559911066
mean_long,-122.03485576694098
std_lat,0.03876486055331305
std_long,0.044279409294126514
init_lengthscale,92.56
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-444.84797535426685
m,23.0
bic,1024.4940338482486
gp_runtime,4.527212142944336
ses_smoothing_level,0.999999985098654
holt_smoothing_level_lat,0.9999999850987595
holt_smoothing_slope_lat,1.547780746316798e-14
holt_smoothing_level_lon,0.9267231042995957
holt_smoothing_slope_lon,1.4731835430569232e-11
holt_damping_slope_lat,0.8575331205904184
holt_damping_slope_lon,0.9803562318936876
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.900273682128478
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8776350075415351
es_damping_slope_lon,0.8263449018506455
arima_order,"(1, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
