,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],22304.0
f_tdf.shape[0],22086.0
fc_tdf.shape[0],4142.0
fcu_tdf.shape[0],4106.0
curr_ocp,0.5641025641025641
target_ocp,0.3
new_ocp,0.29646017699115046
n_train,1500.0
n_test,1680.0
n_dims,13.0
mean_lat,47.99101823022272
mean_long,-122.15942605527397
std_lat,0.17630966777897086
std_long,0.039549783752337093
init_lengthscale,27.079386257505003
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2100.958126255391
m,23.0
bic,4370.1203214138595
gp_runtime,20.304757833480835
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999849697909
holt_smoothing_slope_lat,0.07474657207757834
holt_smoothing_level_lon,0.9999999850980513
holt_smoothing_slope_lon,0.07561597774489326
holt_damping_slope_lat,0.8000000056913757
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.07784450797010507
es_smoothing_level_lon,0.999999985098837
es_smoothing_slope_lon,0.07709244221633448
es_damping_slope_lat,0.8000000000000005
es_damping_slope_lon,0.8
arima_order,"(2, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
