,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],6171.0
f_tdf.shape[0],6052.0
fc_tdf.shape[0],2004.0
fcu_tdf.shape[0],2001.0
curr_ocp,0.4435146443514644
target_ocp,0.3
new_ocp,0.29957805907172996
n_train,1190.0
n_test,473.0
n_dims,13.0
mean_lat,47.811957217185444
mean_long,-122.22249101171137
std_lat,0.13328331171683638
std_long,0.06843536336206271
init_lengthscale,35.86669470142977
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1512.0409431505932
m,23.0
bic,3186.9611837816146
gp_runtime,19.401408672332764
ses_smoothing_level,0.9999999850987777
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.3291403173801345
holt_smoothing_level_lon,0.9999999850988289
holt_smoothing_slope_lon,0.181792748718408
holt_damping_slope_lat,0.8214633437537706
holt_damping_slope_lon,0.8000000000000005
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.32288469841014716
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.18202146602547156
es_damping_slope_lat,0.8269282693574537
es_damping_slope_lon,0.800000000000001
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
