,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,360.0
tdf.shape[0],13929.0
f_tdf.shape[0],13709.0
fc_tdf.shape[0],2356.0
fcu_tdf.shape[0],2346.0
curr_ocp,0.547945205479452
target_ocp,0.4
new_ocp,0.3958333333333333
n_train,1217.0
n_test,601.0
n_dims,13.0
mean_lat,47.42542118526249
mean_long,-122.23636302531744
std_lat,0.11288087089287581
std_long,0.07265543649268089
init_lengthscale,21.23766447368421
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1709.9640975774132
m,23.0
bic,3583.3235092935397
gp_runtime,17.08954691886902
ses_smoothing_level,0.9999999850988016
holt_smoothing_level_lat,0.9999999850924515
holt_smoothing_slope_lat,4.9071467292301304e-12
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.9868888469831447
holt_damping_slope_lon,0.9854407664871155
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850963465
es_smoothing_slope_lat,2.8557513624531268e-12
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.9877270033303029
es_damping_slope_lon,0.9854233626263692
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
