,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,5.0
tdf.shape[0],8551.0
f_tdf.shape[0],8299.0
fc_tdf.shape[0],3138.0
fcu_tdf.shape[0],3138.0
curr_ocp,0.04691689008042895
target_ocp,0.023553241547488057
new_ocp,0.023517023517023516
n_train,1249.0
n_test,1286.0
n_dims,13.0
mean_lat,48.036941475180924
mean_long,-122.18415275233194
std_lat,0.07125334337737513
std_long,0.018579269924599753
init_lengthscale,34.24158653846154
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1626.8379888197048
m,23.0
bic,3417.668243372298
gp_runtime,16.703165531158447
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.985623828070772
holt_damping_slope_lon,0.9788382593186054
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850964133
es_smoothing_slope_lat,0.13234738763151108
es_smoothing_level_lon,0.9999999850442135
es_smoothing_slope_lon,1.0230524838205834e-10
es_damping_slope_lat,0.8000000000095537
es_damping_slope_lon,0.8533379328480337
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
