,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,5.0
tdf.shape[0],9056.0
f_tdf.shape[0],9046.0
fc_tdf.shape[0],2554.0
fcu_tdf.shape[0],2545.0
curr_ocp,0.05554038058818173
target_ocp,0.053019784865416544
new_ocp,0.05299098606937995
n_train,1882.0
n_test,98.0
n_dims,13.0
mean_lat,48.19341844497486
mean_long,-122.17655069802953
std_lat,0.07054161109154544
std_long,0.08190067692287815
init_lengthscale,14.597022860180754
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2664.7418897823027
m,23.0
bic,5502.905856927948
gp_runtime,48.579617500305176
ses_smoothing_level,0.9999999850937666
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.24707488694364121
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.16963939398924216
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8000000000004556
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988089
es_smoothing_slope_lat,0.2480463150517921
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.16729694220403718
es_damping_slope_lat,0.8
es_damping_slope_lon,0.8000000000001846
arima_order,"(2, 0, 1)"
sarimax_order,
sarimax_seasonal_order,
