,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,5.0
tdf.shape[0],7813.0
f_tdf.shape[0],7609.0
fc_tdf.shape[0],2807.0
fcu_tdf.shape[0],2637.0
curr_ocp,0.062423996757194976
target_ocp,0.023876273697855995
new_ocp,0.023857779836701603
n_train,864.0
n_test,1412.0
n_dims,13.0
mean_lat,47.63426523561944
mean_long,-122.29078295941389
std_lat,0.1019446214355538
std_long,0.06934774376611405
init_lengthscale,50.02433371958285
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1201.3146719301158
m,23.0
bic,2558.145517542725
gp_runtime,4.1268322467803955
ses_smoothing_level,0.9999999850973912
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,3.432895769793603e-11
holt_smoothing_level_lon,0.9999999847869853
holt_smoothing_slope_lon,4.227050789488234e-10
holt_damping_slope_lat,0.9654648999853287
holt_damping_slope_lon,0.9830158618694219
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.9999999850961226
es_smoothing_slope_lon,3.80956657485361e-12
es_damping_slope_lat,0.969747005184917
es_damping_slope_lon,0.8210415035419896
arima_order,"(2, 0, 0)"
sarimax_order,
sarimax_seasonal_order,
