,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,5.0
tdf.shape[0],7525.0
f_tdf.shape[0],7217.0
fc_tdf.shape[0],1897.0
fcu_tdf.shape[0],1887.0
curr_ocp,0.037261647909499096
target_ocp,0.017386121496590363
new_ocp,0.017372881355932204
n_train,582.0
n_test,992.0
n_dims,13.0
mean_lat,47.79541268945145
mean_long,-122.26941469161429
std_lat,0.04066409049608895
std_long,0.028054019030320506
init_lengthscale,71.08175559380379
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-815.3797695095795
m,23.0
bic,1777.188359316982
gp_runtime,3.075681686401367
ses_smoothing_level,0.8696700963554379
holt_smoothing_level_lat,0.8695257256569354
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,2.4033464165632276e-10
holt_damping_slope_lat,0.9649506315689557
holt_damping_slope_lon,0.9605945972124061
es_seasonal_periods,24.0
es_smoothing_level_lat,0.8658118247868195
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.9999999849181989
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8000000010834087
es_damping_slope_lon,0.9515758520243293
arima_order,"(2, 0, 2)"
sarimax_order,
sarimax_seasonal_order,
