,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,5.0
tdf.shape[0],10299.0
f_tdf.shape[0],10191.0
fc_tdf.shape[0],3013.0
fcu_tdf.shape[0],2975.0
curr_ocp,0.049658525292279196
target_ocp,0.012733889509066058
new_ocp,0.012732955203148513
n_train,647.0
n_test,1846.0
n_dims,13.0
mean_lat,47.74529504073375
mean_long,-122.30965985807998
std_lat,0.061812021849433546
std_long,0.06096635539878606
init_lengthscale,66.86455108359134
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-910.014893865506
m,23.0
bic,1968.8937525045328
gp_runtime,3.575223922729492
ses_smoothing_level,0.9999999850965491
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.999999985070171
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.9333507503113353
holt_damping_slope_lon,0.9544197036327349
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.9483798253587931
es_damping_slope_lon,0.9267825648539373
arima_order,"(2, 1, 1)"
sarimax_order,
sarimax_seasonal_order,
