,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],23563.0
f_tdf.shape[0],22726.0
fc_tdf.shape[0],6629.0
fcu_tdf.shape[0],6594.0
curr_ocp,0.27941176470588236
target_ocp,0.1
new_ocp,0.1
n_train,1353.0
n_test,3951.0
n_dims,13.0
mean_lat,47.52719261354614
mean_long,-122.21786121879131
std_lat,0.06688018261224254
std_long,0.06969919476467626
init_lengthscale,31.502958579881657
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1884.1874674289093
m,23.0
bic,3934.2067663057464
gp_runtime,23.605311155319214
ses_smoothing_level,0.9989519338960202
holt_smoothing_level_lat,0.9989002804703525
holt_smoothing_slope_lat,7.486837542169767e-11
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.9890305964272402
holt_damping_slope_lon,0.8571339646607199
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,5.908016575190725e-12
es_smoothing_level_lon,0.9999999850988258
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8889566149845992
es_damping_slope_lon,0.8575819683913543
arima_order,"(2, 0, 1)"
sarimax_order,"(2, 0, 1)"
sarimax_seasonal_order,"(0, 0, 0, 24)"
