,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],12812.0
f_tdf.shape[0],12503.0
fc_tdf.shape[0],1113.0
fcu_tdf.shape[0],1088.0
curr_ocp,0.14852492370295015
target_ocp,0.1
new_ocp,0.09907120743034056
n_train,446.0
n_test,422.0
n_dims,13.0
mean_lat,47.75822648773867
mean_long,-122.1447013796621
std_lat,0.05501090949005309
std_long,0.04286412580593541
init_lengthscale,65.2752808988764
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-630.6038009935263
m,23.0
bic,1401.514937883514
gp_runtime,1.3907368183135986
ses_smoothing_level,0.9999999850988089
holt_smoothing_level_lat,0.9999999850982461
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.999999985098798
holt_smoothing_slope_lon,1.4687688148298457e-15
holt_damping_slope_lat,0.8000000000128306
holt_damping_slope_lon,0.8851221195822588
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.007663833630470666
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8000000000000168
es_damping_slope_lon,0.9015761948564885
arima_order,"(2, 0, 1)"
sarimax_order,"(2, 0, 1)"
sarimax_seasonal_order,"(0, 0, 0, 24)"
