,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],17384.0
f_tdf.shape[0],16676.0
fc_tdf.shape[0],7246.0
fcu_tdf.shape[0],7217.0
curr_ocp,0.2575438596491228
target_ocp,0.1
new_ocp,0.09940652818991098
n_train,1597.0
n_test,4193.0
n_dims,13.0
mean_lat,48.041625397977874
mean_long,-122.17101422010693
std_lat,0.09504842848347554
std_long,0.040953341738699925
init_lengthscale,25.331453634085214
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2188.5252619649546
m,23.0
bic,4546.695813338854
gp_runtime,46.53701090812683
ses_smoothing_level,0.999999985098789
holt_smoothing_level_lat,0.9999999850844659
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.8920454249663148
holt_smoothing_slope_lon,1.724167073959557e-18
holt_damping_slope_lat,0.9397155630295385
holt_damping_slope_lon,0.858970091964934
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850960717
es_smoothing_slope_lat,9.582402580409772e-12
es_smoothing_level_lon,0.8900935840990749
es_smoothing_slope_lon,5.488225379698271e-09
es_damping_slope_lat,0.9371298218297927
es_damping_slope_lon,0.8592289993511181
arima_order,"(2, 0, 1)"
sarimax_order,"(2, 0, 1)"
sarimax_seasonal_order,"(0, 0, 1, 24)"
