,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],8013.0
f_tdf.shape[0],7871.0
fc_tdf.shape[0],4114.0
fcu_tdf.shape[0],4103.0
curr_ocp,0.19879969992498125
target_ocp,0.1
new_ocp,0.09931766489764973
n_train,1478.0
n_test,1928.0
n_dims,13.0
mean_lat,47.3634287242643
mean_long,-122.31016565990187
std_lat,0.11154742005195238
std_long,0.04636723688511625
init_lengthscale,26.77962085308057
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2071.768428385002
m,23.0
bic,4311.401094104692
gp_runtime,28.46764588356018
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9999999850984865
holt_smoothing_slope_lon,0.0629396181877905
holt_damping_slope_lat,0.9725361281574125
holt_damping_slope_lon,0.8
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850711427
es_smoothing_slope_lat,2.6068645328451026e-11
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.06415982507657035
es_damping_slope_lat,0.9725977159276695
es_damping_slope_lon,0.8000000000000976
arima_order,"(2, 0, 2)"
sarimax_order,"(2, 0, 1)"
sarimax_seasonal_order,"(1, 0, 0, 24)"
