,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],8995.0
f_tdf.shape[0],8720.0
fc_tdf.shape[0],3242.0
fcu_tdf.shape[0],3067.0
curr_ocp,0.28087167070217917
target_ocp,0.1
new_ocp,0.09942950285248574
n_train,803.0
n_test,1651.0
n_dims,13.0
mean_lat,47.922912295712365
mean_long,-122.14725573105737
std_lat,0.06414365551868824
std_long,0.06098105708352002
init_lengthscale,45.87593516209476
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1108.3157956356454
m,23.0
bic,2370.4637496920664
gp_runtime,8.58139705657959
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.999999982716971
holt_smoothing_slope_lat,0.08661745080468886
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.8
holt_damping_slope_lon,0.8505856933817055
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988385
es_smoothing_slope_lat,0.0881010907958153
es_smoothing_level_lon,0.9999999850987895
es_smoothing_slope_lon,0.0
es_damping_slope_lat,0.8
es_damping_slope_lon,0.815639625990047
arima_order,"(2, 0, 2)"
sarimax_order,"(2, 0, 2)"
sarimax_seasonal_order,"(0, 0, 1, 24)"
