,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],11812.0
f_tdf.shape[0],11301.0
fc_tdf.shape[0],4693.0
fcu_tdf.shape[0],4678.0
curr_ocp,0.26718092566619916
target_ocp,0.1
new_ocp,0.09978917779339423
n_train,1148.0
n_test,2656.0
n_dims,13.0
mean_lat,47.32297890057501
mean_long,-122.0706703688163
std_lat,0.11847967562849224
std_long,0.09704593097662924
init_lengthscale,37.19921534437663
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1575.6332076489937
m,23.0
bic,3313.319276566216
gp_runtime,9.712878704071045
ses_smoothing_level,0.9286620677783205
holt_smoothing_level_lat,0.9286399885981383
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9999999850988388
holt_smoothing_slope_lon,0.0
holt_damping_slope_lat,0.9848896283231455
holt_damping_slope_lon,0.9785037845926491
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9295725742313279
es_smoothing_slope_lat,2.867145929033238e-10
es_smoothing_level_lon,0.9999999843281582
es_smoothing_slope_lon,6.753781503227729e-10
es_damping_slope_lat,0.8
es_damping_slope_lon,0.9762498517970466
arima_order,"(1, 0, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 0, 1, 24)"
