,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],5277.0
f_tdf.shape[0],5144.0
fc_tdf.shape[0],1583.0
fcu_tdf.shape[0],1576.0
curr_ocp,0.20987654320987653
target_ocp,0.1
new_ocp,0.09917355371900827
n_train,615.0
n_test,689.0
n_dims,13.0
mean_lat,47.78436761832603
mean_long,-122.2316661124206
std_lat,0.042751390052635944
std_long,0.03848977507231208
init_lengthscale,35.45195439739414
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-150.69290910993283
m,43.0
bic,577.5155757355459
gp_runtime,41.38439965248108
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
