,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],13893.0
f_tdf.shape[0],13484.0
fc_tdf.shape[0],2168.0
fcu_tdf.shape[0],2109.0
curr_ocp,0.3129445234708393
target_ocp,0.2
new_ocp,0.19914651493598862
n_train,1046.0
n_test,597.0
n_dims,13.0
mean_lat,47.16293780867012
mean_long,-122.10594175624254
std_lat,0.03497577663014069
std_long,0.06414028684673596
init_lengthscale,20.17511961722488
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-271.1547872669116
m,43.0
bic,841.2769062526926
gp_runtime,96.82450008392334
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
