,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],1766.0
f_tdf.shape[0],1722.0
fc_tdf.shape[0],391.0
fcu_tdf.shape[0],390.0
curr_ocp,0.08488612836438923
target_ocp,0.03129568633934876
new_ocp,0.031055900621118012
n_train,99.0
n_test,226.0
n_dims,12.0
mean_lat,47.59107471928267
mean_long,-122.34199710231218
std_lat,0.17704714981991612
std_long,0.12885159502730326
init_lengthscale,147.5969387755102
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,152.01871835051702
m,41.0
bic,-115.63752284551586
gp_runtime,5.943785190582275
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
