,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],3121.0
f_tdf.shape[0],3047.0
fc_tdf.shape[0],739.0
fcu_tdf.shape[0],739.0
curr_ocp,0.0930888575458392
target_ocp,0.013167527131281423
new_ocp,0.013157894736842105
n_train,57.0
n_test,553.0
n_dims,13.0
mean_lat,47.42014803975637
mean_long,-122.20055641067023
std_lat,0.035895930954062634
std_long,0.07246988354997495
init_lengthscale,284.94642857142856
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,14.604586728218278
m,43.0
bic,144.6420310604491
gp_runtime,3.681962013244629
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
