,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],5308.0
f_tdf.shape[0],5093.0
fc_tdf.shape[0],1785.0
fcu_tdf.shape[0],1773.0
curr_ocp,0.24857954545454544
target_ocp,0.1
new_ocp,0.1
n_train,463.0
n_test,1017.0
n_dims,13.0
mean_lat,47.55913141893161
mean_long,-122.0224096525009
std_lat,0.1039825462198316
std_long,0.08591995476963789
init_lengthscale,44.785714285714285
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,-49.102936233887135
m,43.0
bic,362.12813579348233
gp_runtime,17.925464630126953
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
