,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],12998.0
f_tdf.shape[0],12987.0
fc_tdf.shape[0],4173.0
fcu_tdf.shape[0],4160.0
curr_ocp,0.2565573770491803
target_ocp,0.1
new_ocp,0.0993322203672788
n_train,945.0
n_test,2492.0
n_dims,13.0
mean_lat,47.454786468250866
mean_long,-122.30900290721968
std_lat,0.09482574919551635
std_long,0.06983088341707785
init_lengthscale,38.060911016949156
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-1340.9928857887066
m,23.0
bic,2839.5630249097694
gp_runtime,11.834098100662231
ses_smoothing_level,0.999999985098797
holt_smoothing_level_lat,0.9999999850949207
holt_smoothing_slope_lat,1.0865630805162795e-11
holt_smoothing_level_lon,0.9799246179096643
holt_smoothing_slope_lon,3.2700928327356287e-10
holt_damping_slope_lat,0.9661702378573329
holt_damping_slope_lon,0.8855885805085999
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850988388
es_smoothing_slope_lat,0.0
es_smoothing_level_lon,0.9801102067200695
es_smoothing_slope_lon,8.744883921857886e-11
es_damping_slope_lat,0.9647716835094431
es_damping_slope_lon,0.8816223240487262
arima_order,"(2, 0, 1)"
sarimax_order,"(2, 0, 1)"
sarimax_seasonal_order,"(0, 0, 0, 24)"
