,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],20038.0
f_tdf.shape[0],19720.0
fc_tdf.shape[0],5022.0
fcu_tdf.shape[0],4996.0
curr_ocp,0.19775596072931276
target_ocp,0.1
new_ocp,0.09957924263674614
n_train,1886.0
n_test,2058.0
n_dims,13.0
mean_lat,47.92893666485504
mean_long,-122.09274023590054
std_lat,0.10167462470538573
std_long,0.09430713289823178
init_lengthscale,22.681697612732094
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-2415.7319013107835
m,23.0
bic,5004.934712275015
gp_runtime,74.4222400188446
ses_smoothing_level,0.9835099044189866
holt_smoothing_level_lat,0.9643677485557529
holt_smoothing_slope_lat,0.023479051761573035
holt_smoothing_level_lon,0.9999999850975861
holt_smoothing_slope_lon,0.029672899091923062
holt_damping_slope_lat,0.8000000000000018
holt_damping_slope_lon,0.8000000000108481
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9654836390300574
es_smoothing_slope_lat,0.02441577461369286
es_smoothing_level_lon,0.9999999850988388
es_smoothing_slope_lon,0.03154188352587638
es_damping_slope_lat,0.8000000011620781
es_damping_slope_lon,0.8000000000002262
arima_order,"(2, 0, 2)"
sarimax_order,"(2, 0, 2)"
sarimax_seasonal_order,"(0, 0, 0, 24)"
