,value
max_speed_kmh,200.0
spatial_radius_km,0.3
bin_len,60.0
tdf.shape[0],2509.0
f_tdf.shape[0],2424.0
fc_tdf.shape[0],1395.0
fcu_tdf.shape[0],1386.0
curr_ocp,0.19578313253012047
target_ocp,0.1
new_ocp,0.09939759036144578
n_train,627.0
n_test,598.0
n_dims,13.0
mean_lat,47.630752325709295
mean_long,-122.33514932310979
std_lat,0.02924332613472344
std_long,0.03732077220769886
init_lengthscale,47.691693290734825
init_period_len_1,1440.0
init_period_len_2,10080.0
log_ll,-832.4558130220245
m,23.0
bic,1813.0533964786061
gp_runtime,5.670763969421387
ses_smoothing_level,0.9999999850988388
holt_smoothing_level_lat,0.9999999850988388
holt_smoothing_slope_lat,0.0
holt_smoothing_level_lon,0.9270872044480004
holt_smoothing_slope_lon,2.5830644326669976e-12
holt_damping_slope_lat,0.9541005751912943
holt_damping_slope_lon,0.978307839151822
es_seasonal_periods,24.0
es_smoothing_level_lat,0.9999999850984927
es_smoothing_slope_lat,2.5625278651638337e-12
es_smoothing_level_lon,0.8938753019410395
es_smoothing_slope_lon,0.057639922938381244
es_damping_slope_lat,0.9541160001894593
es_damping_slope_lon,0.8000000000036516
arima_order,"(0, 1, 1)"
sarimax_order,"(0, 1, 1)"
sarimax_seasonal_order,"(0, 0, 0, 24)"
